Target,Bmag,eBmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,ObsDate
Sz 90,--,--,--,--,--,--,--,--,10.71,--,9.58,--,9.01,--,7.97,--,7.41,--,1982Apr
Sz 91,--,--,--,--,--,--,--,--,11.46,--,10.47,--,10.17,--,9.78,--,9.98,--,1982Apr
Sz 96,--,--,--,--,--,--,--,--,10.11,--,9.21,--,8.75,--,7.9,--,7.56,--,1982Apr
Sz 98,--,--,--,--,--,--,--,--,9.55,--,8.59,--,7.99,--,6.97,--,7.62,--,1982Apr
Sz 103,--,--,--,--,--,--,--,--,--,--,--,--,10.28,--,--,--,--,--,1982Apr
Sz 108,--,--,--,--,--,--,--,--,9.73,--,8.92,--,8.72,--,8.48,--,8.22,--,1982Apr
Sz 111,--,--,--,--,--,--,--,--,11.26,--,10.37,--,10.05,--,9.53,--,9.85,--,1982Apr
Sz 116,--,--,--,--,--,--,--,--,10.42,--,9.7,--,9.58,--,9.36,--,9.38,--,1982Apr
Sz 124,--,--,--,--,--,--,--,--,10.37,--,9.64,--,9.48,--,9.31,--,9.63,--,1982Apr
Sz 124,--,--,--,--,--,--,--,--,--,--,--,--,9.46,--,--,--,--,--,1982Apr
V* EX Lup,--,--,--,--,--,--,--,--,9.92,--,9.11,--,8.78,--,8.05,--,7.54,--,1982Apr
Sz 126,--,--,--,--,--,--,--,--,10.32,--,9.33,--,8.82,--,8.04,--,7.5,--,1982Apr
Sz 127,--,--,--,--,--,--,--,--,10.13,--,9.31,--,8.95,--,8.2,8.2,--,--,1982Apr
Sz 129,--,--,--,--,--,--,--,--,10.01,--,9.06,--,8.65,--,7.89,--,7.42,--,1982Apr
Sz 130,--,--,--,--,--,--,--,--,10.78,--,9.98,--,9.72,--,9.21,--,8.62,--,1982Apr
Sz 68,--,--,--,--,--,--,--,--,7.69,--,6.96,--,6.58,--,5.84,--,--,--,unknown
Sz 69,--,--,--,--,--,--,--,--,--,--,10.45,--,9.52,--,8.2,--,--,--,unknown
Sz 72,--,--,--,--,--,--,--,--,10.66,--,9.87,--,9.38,--,--,--,--,--,unknown
Sz 72,--,--,--,--,--,--,--,--,10.61,--,9.81,--,9.38,--,--,--,--,--,unknown
Sz 74,--,--,--,--,--,--,--,--,9.33,--,8.14,--,7.43,--,6.59,--,--,--,unknown
Sz 75,--,--,--,--,--,--,--,--,8.7,--,7.72,--,6.9,--,5.92,--,--,--,unknown
Sz 75,--,--,--,--,--,--,--,--,8.58,--,7.66,--,6.95,--,5.98,--,--,--,unknown
Sz 77,--,--,--,--,--,--,--,--,9.5,--,8.75,--,8.35,--,7.75,--,--,--,unknown
Sz 81,--,--,--,--,--,--,--,--,10.16,--,9.55,--,9.12,--,--,--,--,--,unknown
Sz 81,--,--,--,--,--,--,--,--,10.04,--,9.4,--,9.06,--,--,--,--,--,unknown
Sz 82,--,--,--,--,--,--,--,--,8.92,--,8.17,--,7.83,--,7.38,--,--,--,unknown
Sz 84,--,--,--,--,--,--,--,--,--,--,10.26,--,9.86,--,--,--,--,--,unknown
Sz 88,--,--,--,--,--,--,--,--,9.98,--,9.11,--,8.63,--,7.71,--,--,--,unknown
Sz 88,--,--,--,--,--,--,--,--,10.2,--,9.07,--,8.54,--,7.59,--,--,--,unknown
Sz 90,--,--,--,--,--,--,--,--,10.37,--,9.37,--,8.76,--,--,--,--,--,unknown
Sz 98,--,--,--,--,--,--,--,--,9.5,--,8.63,--,8.04,--,6.94,--,--,--,unknown
Sz 98,--,--,--,--,--,--,--,--,9.51,--,8.61,--,7.99,--,7.04,--,--,--,unknown
Sz 108,--,--,--,--,--,--,--,--,9.69,--,8.93,--,8.75,--,--,--,--,--,unknown
Sz 110,--,--,--,--,--,--,--,--,11.22,--,10.27,--,9.83,--,--,--,--,--,unknown
Sz 111,--,--,--,--,--,--,--,--,--,--,10.07,--,9.67,--,--,--,--,--,unknown
Sz 116,--,--,--,--,--,--,--,--,--,--,--,--,9.67,--,--,--,--,--,unknown
Sz 119,--,--,--,--,--,--,--,--,10.36,--,9.68,--,9.45,--,--,--,--,--,unknown
Sz 124,--,--,--,--,--,--,--,--,--,--,10.1,--,9.42,--,--,--,--,--,unknown
Sz 129,--,--,--,--,--,--,--,--,9.78,--,8.98,--,8.52,--,7.93,--,--,--,unknown
Sz 129,--,--,--,--,--,--,--,--,9.8,--,8.99,--,8.4,--,--,--,--,--,unknown
Sz 134,--,--,--,--,--,--,--,--,--,--,9.98,--,9.62,--,--,--,--,--,unknown
