Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 25878,7.27,--,--,--,--,5.86,5.05,4.6,4.14,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 258853,8.83,8.76,6.63,--,--,1.63,0.76,0.53,0.41,0.65,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 258973,10.03,5.44,5.37,4.39,4.1,3.87,--,3.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259012,9.38,11.4,10.1,--,--,6.58,5.89,5.77,5.7,5.71,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259105,9.38,--,--,--,--,--,--,7.78,7.71,7.73,5.34,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259135,8.55,--,--,--,--,2.87,2.06,1.58,1.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259172,10.68,4.46,4.9,5.1,5.23,5.24,5.25,5.32,5.3,5.31,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259238,11.06,7,5.53,3.14,2.39,1.88,1.14,1.01,0.91,1.13,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259268,11.07,8.66,6.82,--,--,2.06,--,1.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259300,10.76,--,--,6.45,6.31,6.41,6.37,6.31,6.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25940,4.03,4.36,4.99,--,--,5.09,5.02,4.91,4.51,4.31,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259431,8.72,7.04,7.08,--,--,4.08,3.99,3.98,3.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 259597,8.6,9.09,9.89,--,--,10.28,10.47,10.41,8.75,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25975,6.09,9.77,8.05,--,--,2.54,--,1.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26,8.25,--,--,--,--,--,--,10.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 260297,11.2,4.82,5.69,--,--,5.93,5.96,6.01,6.07,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261657,10.88,--,9.65,4.45,1.37,0.73,-0.34,-0.72,-1.15,-1,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26169,8.8,11.73,10.89,9.85,9.85,7.7,7.19,7.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261736 B,9.19,2.46,1.18,-1.03,-1.68,-2.22,-2.91,-3,-3.12,-2.98,-3.19,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261810,9.02,4.64,4.6,--,--,3.08,--,2.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261878,9.08,5.01,4.95,4.6,4.51,4.4,--,4.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261902,10.23,4.31,4.26,4.16,4.13,--,--,3.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261903,9.1,7.81,8.61,--,--,8.45,8.47,8.43,8.28,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261938,8.97,9.58,7.51,--,--,2.48,--,1.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261940,10.06,5.86,5.9,--,--,5.87,5.89,5.87,5.89,5.62,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 261969,9.95,--,--,--,--,--,--,--,0.61,0.39,--,--,--,--,--,--,--,--,--,--,--,--,unknown
