Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 51754,9.05,5.73,6.45,6.18,6.03,--,--,5.94,5.82,5.4,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 51799,4.95,6.26,5.51,3.85,3.32,2.93,2.43,2.31,2.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 51802,5.07,3.95,3.85,3.59,3.54,3.48,--,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52005,5.69,10.46,10.31,--,--,8.27,6.7,6.3,5.57,5.2,3.9,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52089,1.5,11.72,9.41,3.9,2.11,1.48,0.42,-0.17,-1.42,-2.03,-4.4,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52266,7.23,5.52,5.59,4.61,4.28,3.97,3.66,3.62,3.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5235,7.8,8.7,9.26,--,--,--,--,8.96,8.49,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52362,6.22,--,--,--,--,8.96,8.41,7.85,6.56,--,3.07,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52382,6.57,7.16,7.54,--,--,7.35,7.12,6.52,6.24,5.83,4.85,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5241,10.3,--,11.34,--,--,3.82,3.08,2.86,2.53,2.4,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52554,5.94,--,--,--,--,7.91,7.33,7.21,7.14,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52711,5.93,9.93,10.47,--,--,--,--,9.74,9.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52721,6.59,--,--,--,--,--,--,--,2.86,2.98,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5286,5.45,6.65,7.45,--,--,--,--,6.85,6.82,6.33,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52877,3.47,13.33,11.56,8.83,8,7.26,--,6.3,4.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52905,9.7,8.13,7.91,--,--,--,--,7.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52918,5,9.44,10.1,--,--,--,--,8.74,9.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52938 B,7.85,7.84,8.64,--,--,--,--,7.58,7.38,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52942,8.14,9.88,10.17,--,--,--,--,8.81,8.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 52973,3.79,9.38,10.05,--,--,--,--,9.18,9.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5303,7.9,9.48,10.05,--,--,--,--,7.82,7.75,6.9,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53138,3.02,9.53,9.13,--,--,5.97,5.49,5.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53179,8.8,--,--,--,--,--,6.11,5.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53191 A,7.9,9.5,9.78,--,--,--,--,9.28,9.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53191B,11.75,7.29,8.04,--,--,--,--,7.74,7.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53244,4.12,--,--,--,--,--,--,3.59,3.12,2.29,1.68,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53257,6.02,5.16,6.02,--,--,6.42,6.48,6.52,6.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53367,6.96,7.86,7.27,5.63,5.14,4.78,4.27,4.23,4.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53510,5.78,--,--,--,--,4.1,3.24,2.79,2.25,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53667,7.75,6.4,7.26,--,--,7.2,7.24,7.22,7.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53705,5.28,--,--,--,--,3.01,2.04,1.7,1.37,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53706,6.79,7.6,7.93,6.82,6.32,5.78,5.56,5.43,5.37,5.46,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53755,6.49,13.38,12.17,7.07,5.01,3.78,2.5,2.03,1.65,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53791,7.68,9.36,9.49,7.33,6.47,5.96,5.58,5.41,5.17,5.07,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5394,2.39,8.06,7.48,--,--,5.35,4.97,4.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53974,5.39,8.56,6.62,--,--,1.45,--,0.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 53975,6.5,13.4,11.46,7.44,5.94,4.85,3.84,3.57,3.36,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54118,5.17,3.6,4.07,3.58,3.38,--,--,3.19,3.08,3.19,2.98,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54300,7.25,--,--,--,--,7.2,7.08,7.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54309,5.83,4.64,5.42,5.27,5.19,5.27,5.21,5.22,5.16,5.19,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54361,6.56,5.25,6.05,5.94,5.86,5.91,5.88,5.89,5.87,5.92,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54439,7.68,9.43,9.56,--,--,6.59,6.22,6.06,5.86,5.82,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5448,3.87,8.44,8.89,--,--,6.84,6.55,6.42,6.28,6.19,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54605,1.84,--,14.02,8.29,6.09,4.89,3.62,3.18,2.71,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54627,8.78,--,--,--,--,9.08,8.11,7.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54662,6.21,6.02,6.35,5.93,5.7,5.47,5.38,5.31,5.25,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54719,4.42,4.62,5.3,5.32,5.36,5.4,5.37,5.35,5.21,5.27,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54795,9.1,--,--,--,--,--,9.71,8.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54810,4.92,8.75,9.02,--,--,6.59,6.26,6.07,5.89,5.76,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54858,8.17,--,--,--,--,--,--,3,2.7,2.49,2.03,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 54893,4.83,9.16,7.6,--,--,1.78,--,0.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55052,5.85,6.87,7.61,--,--,6.84,6.74,6.72,6.64,6.51,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5516,4.42,--,--,--,--,5.15,4.62,4.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55284,10.8,--,--,--,--,4.28,3.41,3,2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55383,5,6.37,4.67,1.55,0.23,-0.86,-1.44,-1.55,-1.69,-1.4,-1.68,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5550,5.97,9.03,7.33,--,--,3.06,--,2.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55575,5.58,5.81,6.65,--,--,6.23,6.16,6.16,6.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55621,5.82,6.83,7.19,--,--,5.57,5.38,5.32,5.22,5.3,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55870,5.71,9.69,9.8,--,--,6.48,6.08,5.87,5.67,5.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55879,6.03,--,--,--,--,11.45,11.04,10.76,10.3,--,7.25,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55892,4.49,--,--,--,--,10.32,9.74,8.78,6.78,--,2.83,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55934,9.7,7.89,8.27,6.68,6.07,5.65,5.33,5.21,5.04,5.17,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 55966,4.96,9.51,9.93,--,--,7.8,7.54,7.45,7.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56014,4.65,--,--,--,--,8.24,7.38,7.1,7.07,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56031,5.82,8.62,9.22,--,--,7.62,7.49,7.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56096,5.1,8.12,8.72,7.62,7.21,6.9,6.66,6.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56139,3.82,8.81,9.21,--,--,7.01,6.75,6.65,6.54,6.71,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56167,8.1,9.04,9.71,--,--,9.01,8.92,8.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56169,5.05,8.72,9.36,--,--,8.23,7.98,7.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56215,11,--,--,--,--,--,11.6,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56438,8.1,9.65,9.88,--,--,7,6.26,5.44,4.43,4.03,3.63,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56456,4.76,12.55,10.55,6.96,5.53,4.42,--,2.89,2.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56504 A,8.8,10.72,10.81,--,--,7.68,7.29,7.21,6.97,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56504B,9.92,6.7,5.51,3.48,2.93,2.49,--,1.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56567,8.4,8.54,6.54,3.62,2.62,1.79,--,0.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56577,4.79,8.1,8.51,7.48,7.06,6.49,6.25,6.11,6.04,6.01,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56618,4.64,10.23,9.82,--,--,4.51,3.88,3.45,3.07,2.58,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56847,8.9,10.15,9.78,--,--,5.07,4.52,4.18,3.76,3.24,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56855,2.7,7.31,6.69,--,--,4.1,3.69,3.61,3.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 56986,3.53,10.12,8.09,--,--,1.1,0.12,-0.21,-0.44,-0.18,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57060,4.95,4.84,4.19,2.55,2.05,1.61,1.09,1.02,0.96,1.06,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57061,4.4,8.6,9.2,--,--,9.31,9.3,9.28,9.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 571,5.04,5.47,6.09,--,--,6.3,6.49,6.28,6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57150,4.67,--,5.2,--,--,5.52,5.56,5.61,5.68,5.56,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57160,11.5,--,7.01,--,--,2.34,--,1.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57167,5.7,8.65,6.71,--,--,1.69,--,0.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57219,5.11,13.53,12.99,--,--,9.04,8.46,7.81,7.31,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5737,4.27,9.57,9.42,7.04,6.08,5.12,4.61,4.32,4.06,4.15,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57623,3.99,--,--,--,--,4.04,2.67,2.18,1.93,1.7,1.54,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57646,5.73,1.69,1.82,1.85,1.86,1.76,1.76,1.76,1.71,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57682,6.43,10.74,10.76,--,--,7.03,6.58,6.39,6.13,6.09,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5774,8,--,--,--,--,9.45,8.66,7.72,5.97,--,3,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 57770,7.8,9.74,7.95,--,--,2.72,--,1.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58050,6.41,10.08,9.88,--,--,--,4.62,4.35,4.07,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58061,7.95,6.18,5.02,2.99,2.39,1.85,--,1.12,1.02,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58131,7.48,--,--,--,--,6.4,5.94,5.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5820,6.11,4.01,4.07,3.14,2.83,2.5,2.22,2.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58207,3.79,9.87,9.72,7.03,5.92,4.97,4.5,4.2,3.91,3.83,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58260,6.73,7.39,7.61,5.82,5.13,4.45,4.09,3.89,3.65,3.44,3.46,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58343,5.19,--,--,--,--,--,5.83,5.53,4.74,3.8,0.17,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58350,2.45,8.74,9.24,--,--,7.41,7.11,6.97,7.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58521,6.98,8.09,8.24,--,--,6,--,5.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58551,6.54,9.71,10.08,--,--,7.62,7.23,7.12,6.95,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58715,2.89,9.61,9.64,7.63,6.86,6.23,5.91,5.64,5.46,5.33,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58881,8.6,5.99,5.9,5.75,5.71,5.67,--,5.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58946,4.18,--,--,--,--,2.92,2.01,1.63,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58972,4.3,--,14.2,9.51,6.93,2.72,1.53,0.98,0.35,0.22,-2.05,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 58978,5.61,4.75,3.85,2.06,1.5,1.01,0.47,0.38,0.29,0.41,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59059,6.22,8.67,9.08,7.94,7.51,7.21,6.93,6.89,6.76,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59075,7.65,--,--,--,--,--,7.37,6.23,4.89,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59094,8.44,5.98,6.66,--,--,6.21,6.21,6.07,5.25,4.96,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5920,9.7,--,--,--,--,4.1,3.11,2.61,2.15,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59612,4.86,4.14,4.53,--,--,4.87,4.88,4.87,4.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59693,5.82,6.29,6.8,--,--,6.35,6.46,6.45,6.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59717,3.25,12.16,11.86,--,--,10.21,10.28,9.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59890,4.65,10.53,10.43,--,--,7.7,7.6,7.5,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59950,6.6,9.25,8.9,--,--,6.54,6.06,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 5996,7.67,8,7.79,--,--,6.06,5.56,5.28,4.65,3.93,0.76,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 59967,6.65,5.51,5.96,--,--,5.22,5.21,5.18,5.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60179C,9.07,8.5,7.81,--,--,4.55,4.13,4,3.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60197,7.76,9.03,9.26,--,--,8.21,8.16,8.12,8.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60218,7.2,8.58,8.84,7.28,6.45,5.77,5.48,5.31,5.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60298,7.4,6.9,7.49,6.58,6.18,5.79,5.68,5.56,5.39,5.51,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60325,6.21,12.35,10.11,5.79,4.15,3.08,2.06,1.71,1.32,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60414,4.97,--,--,--,--,2.22,1.04,0.24,-0.49,0.09,-0.3,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60437,5.65,--,7.3,--,--,3.32,--,2.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60479,8.41,--,--,--,--,2.6,1.63,1.35,1.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60522,4.06,6.7,5.17,2.86,2.18,1.68,0.99,0.84,0.73,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60552,6.73,10.22,9.23,--,--,--,--,4.86,4.76,4.83,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60575 A,7.4,7.91,8.6,7.95,7.74,7.62,7.54,7.5,7.69,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60575 B,10.05,15.58,12.89,7.68,5.58,4.35,3.16,2.76,2.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60575 C,12.8,--,10.49,--,--,--,5.95,5.73,5.7,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60606,5.44,--,10.99,--,--,7.55,7.16,7.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60654,6.38,18.97,13.86,8.64,6.88,3.44,2.24,1.65,1.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60778,9.1,0.03,0.03,0.07,0.1,0,0,0,0,-0.01,-0.01,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60848,6.87,14.05,11.86,7.14,5.24,4.22,3.1,2.76,2.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 60855,5.7,8.61,7.72,--,--,0.62,-0.31,-0.79,-1.34,-1.49,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61110,4.9,10.04,9.96,8.76,8.4,8.06,7.72,7.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6118,5.5,9.09,7.67,3.84,1.88,0.92,0,-0.3,-0.51,-0.38,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61294,5.73,9.68,10.09,--,--,8.01,7.83,7.54,7.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61330,4.53,9.76,10.12,--,--,7.79,7.59,7.46,7.36,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61338,5.05,12.93,12.35,7.98,6.03,4.8,3.52,3.11,2.71,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61421,0.37,--,--,--,--,1.8,0.83,0.43,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61555 A,4.5,7.76,8.16,--,--,6.5,6.4,6.3,6.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61641,5.8,--,10.17,--,--,5.79,5.2,4.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61789,8,7.61,8.32,--,--,--,7.17,6.84,6.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61827,8.2,9.66,8.1,--,--,0.8,-0.15,-0.48,-0.71,-0.35,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61831,4.84,3.97,4.69,5.02,5.18,5.21,5.28,5.33,5.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6186,4.28,--,--,--,--,6.3,5.93,5.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61885,5.77,--,10.88,--,--,3.07,2.21,1.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61913,5.56,--,--,--,--,10.84,9.78,8.72,7.25,6.3,4.3,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61931,5.27,14.8,12.48,7.98,6.24,5.16,4.11,3.77,3.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 61935,3.93,8.66,8.97,--,--,6.7,6.41,6.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62044,4.29,4.71,4.55,4.21,4.13,--,--,3.9,3.84,3.86,3.75,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62045,8,--,8.07,--,--,1.66,--,0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62058,6.56,--,10.43,8.85,8.44,8.59,8.48,8.43,7.51,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62150,7.67,4.66,4.65,3.8,3.54,3.32,--,3.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62164,9.6,6.15,6.03,--,--,--,5.64,5.6,5.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62345,3.57,7.9,7.82,--,--,--,6.84,6.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62509,1.14,7.26,6.04,3.96,3.35,--,2.23,2.01,1.86,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62576,4.59,--,--,--,--,9.26,8.69,7.59,5.53,--,2.14,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62623,3.95,6.15,5.31,3.43,2.86,2.35,--,1.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62647,5.18,4.56,4.49,4.19,4.13,4.19,--,4.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62712,6.4,8.3,6.67,4.14,3.37,2.9,2.37,2.29,1.65,1.4,0.85,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62721,4.87,--,--,--,--,3.87,2.68,2.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62898,5.14,8.49,7.91,--,--,5.39,4.97,4.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6290,7,13.93,9.89,--,--,2.03,1,0.34,0,0.51,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 62910,10.1,15.34,12.92,8.14,6.35,5.23,4.09,3.76,3.5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63032,3.61,5.04,5.75,--,--,--,--,6.36,6.43,6.19,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63099,10.5,8.07,7.53,--,--,5.03,4.62,4.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63218,7.15,2.85,3.42,3.31,3.29,3.35,3.31,3.11,2.89,2.61,2.07,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63323,6.43,8.07,7.93,6.52,6.03,5.62,5.16,5.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63334,8,--,--,--,--,9.02,8.2,7.69,7.15,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63353,8.72,--,--,--,--,13.75,13.2,13.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63425 A,6.94,--,--,--,--,9.14,8.08,7.82,8.02,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63425B,7.65,9.56,9.61,--,--,7.8,7.46,7.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63462,4.49,7.8,6.3,4.04,3.38,2.84,2.17,2.03,1.89,2.11,1.88,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63700,3.3,--,6.97,--,--,3.3,--,2.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63744,4.71,13.37,11.2,7.75,6.43,5.52,4.61,4.39,4.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63922,4.11,--,--,--,--,5.87,5.03,4.6,4.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 63975,5.16,5.88,5.38,3.96,3.5,3.09,--,2.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64090,8.25,7.62,5.97,2.52,0.89,-0.05,-0.91,-1.22,-1.43,-1.08,-1.16,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64488,7.26,4.53,5.24,--,--,5.75,5.78,5.89,5.78,6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64511,8.2,7,5.59,1.95,0.04,-0.9,-1.8,-2.08,-2.29,-2,-2.15,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64606,7.44,6.15,6.59,--,--,6.85,6.9,6.94,6.75,6.63,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64740,4.63,7.95,6.51,--,--,2.83,2.03,1.92,1.83,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64760,4.24,5.99,6.96,--,--,7.18,7.24,7.24,7.23,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 64960,5.78,5.82,4.69,2.71,2.12,1.64,1.04,0.94,0.83,1.01,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65456,4.79,13.5,11.37,6.42,4.59,3.48,2.4,2.04,1.64,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65583,7,5.79,6.82,6.93,--,7.18,7.28,7.32,7.26,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65699,5.11,6.61,6.18,--,--,3.9,3.59,3.48,3.5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65750,6.25,--,14.65,9.3,7.83,2.81,1.9,0.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65810,4.61,--,--,--,--,9.62,9.14,8.95,7,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65818,4.41,--,9.52,--,--,2.15,1.27,1.01,0.83,1.21,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6582,5.17,6.23,6.14,--,--,5.46,5.38,5.35,5.36,5.35,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6582 A,5.15,--,--,--,--,7.39,6.96,6.76,6.65,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6582 B,10.5,3.11,3.19,3.27,3.28,3.2,3.19,3.2,3.18,3.19,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65873,5.99,6.14,5.1,3.26,2.74,2.63,3.68,2.14,2.62,3.68,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65875,6.59,--,--,--,--,4.8,3.54,3.04,2.51,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 65907,5.6,--,--,--,--,--,6.8,6.9,6.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6592,8.4,--,6.37,--,--,--,6.3,6.4,6.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 6595,3.3,--,--,--,--,8.39,7.12,6.19,4.91,3.91,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 66,9.1,10.04,8.04,--,--,1.95,--,0.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 66141,4.38,7.28,7.33,--,--,--,--,--,6.83,6.6,4.6,--,--,--,--,--,--,--,--,--,--,--,unknown
